                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.6841,                 1.6153,                 2.4214,                0.77267,                 0.6703,                 0.7351,                0.57076,                 1.7679,                 2.1866,                 2.5415,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.6869,                 1.6095,                 2.4138,                0.76817,                 0.6739,                0.73534,                0.57126,                  1.767,                 2.1853,                 2.5409,               0.005941,               0.005941,               0.005941
                     84,                 1.6993,                 1.6064,                  2.434,                0.76869,                0.67428,                0.73554,                0.57151,                 1.7654,                 2.1841,                 2.5389,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.6807,                 1.6095,                 2.4348,                0.76855,                0.67407,                0.73536,                0.57159,                    inf,                 2.1782,                 2.5374,               0.005842,               0.005842,               0.005842
                     86,                 1.7085,                  1.602,                 2.4292,                0.76812,                0.67414,                0.73541,                0.57196,                 1.7639,                 2.1747,                  2.537,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.6803,                 1.5892,                 2.4316,                0.76601,                0.67742,                0.73562,                0.57208,                 1.7636,                 2.1717,                 2.5369,               0.005743,               0.005743,               0.005743
                     88,                 1.6959,                 1.5824,                 2.4097,                0.76494,                0.67761,                0.73566,                0.57218,                 1.7637,                 2.1708,                 2.5378,              0.0056935,              0.0056935,              0.0056935
                     89,                  1.643,                 1.5687,                 2.4217,                 0.7701,                0.67373,                0.73601,                0.57281,                 1.7639,                 2.1689,                 2.5385,               0.005644,               0.005644,               0.005644
                     90,                   1.66,                 1.5566,                 2.4013,                0.76522,                0.67759,                0.73632,                0.57334,                 1.7636,                 2.1679,                 2.5385,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.6811,                  1.564,                 2.4111,                0.76876,                0.67479,                0.73656,                0.57362,                 1.7634,                 2.1633,                 2.5385,               0.005545,               0.005545,               0.005545
                     92,                 1.6736,                 1.5521,                  2.393,                0.76884,                 0.6759,                0.73696,                0.57422,                 1.7629,                 2.1569,                 2.5376,              0.0054955,              0.0054955,              0.0054955
